"title","number","genre","author"
"내일은 발명왕","6","아이, 교육","곰돌이"
"캐릭캐릭 체인지","6","순정",""
"캐릭캐릭 체인지 두근두근","6","순정",""
"공룡 메카드","6","아이, 판타지",""
"흔한 남매 불꽃 튀는 우리말","20","아이, 교육","한은호"
"신장판 꿈빛 파티시엘 6","2","순정","마쓰모토 나츠미"
"나츠메 우인장 32","7","순정","유키 미도리카와"
"블리치 68","17","판타지","쿠보 타이토"
"GTO 14","9","일상","토오루 후지사와"
"GTO 파라다이스 로스트 20","9","일상","토오루 후지사와"
"썅년의 미학, 플러스 2","4","웹툰","민서영"
"어느 날 공주가 되어버렸다 9","4","웹툰","스푼, 플루토스"
"어쨌거나 청춘 4","4","웹툰","이보람"
"여중생A 5","4","웹툰","허5파6"
"연놈 20","4","웹툰","상하"
"연애혁명 38","4","웹툰","232"
"이번 생도 잘 부탁해 12","4","로맨스,웹툰","이혜"
"재혼 황후 9","4","웹툰","알파타르트/숨풀"
"정년이 10","4","웹툰","서이레"
"하루만 네가 되고 싶어 8","4","웹툰","삼"
"바른연애 길잡이 12","4","로맨스,웹툰","남수"
"유미의 세포들 13","4","웹툰","이동건"
"이런 영웅은 싫어 27","4","웹툰","삼촌"
"밤을 걷는 선비 20","4","순정","조주희"
"설희 17","4","순정","강경옥"
"황제의 외동딸 14","4","순정","윤슬"
"그대를 사랑합니다 3","4","웹툰","강풀"
"남과 여 7","4","웹툰","시니/혀노"
"내 ID는 강남미인 5","4","웹툰","기맹기"
"눈이 나려 꽃 24","4","순정","임해연"
"마녀 4","4","웹툰","강풀"
"바보 2","4","웹툰","강풀"
"순정만화 2","4","웹툰","강풀"
"운빨 로맨스 3","4","로맨스,웹툰","김달님"
"일쌍다반사 2","4","웹툰","강풀"
"허니블러드 4","4","로맨스,웹툰","이나래"
"후레자식 5","4","호러,디스토피아","김칸비"
"바다의 이름 달의 그림자 18","4","순정",""
"340일간의 유예 3","5","웹툰","미치"
"견우와 선녀 6","5","웹툰","안수민"
"귀전구담 3","5","웹툰","QTT"
"그녀가 공작저로 가야 했던 사정 9","5","웹툰","고래/밀차"
"나의 마녀 4","5","웹툰","해윤"
"날것 6","5","웹툰","로하"
"버림 받은 황비 9","5","웹툰","정유나/인아"
"사내 연애 사절 6","5","로맨스,웹툰","두부/남수"
"서울 자가에 대기업 다니는 김부장 이야기 5","5","웹툰","명랑/김병관"
"악녀가 사랑할 때 9","5","웹툰","서귀조/대치동건물주"
"악마와 계약연애 8","5","웹툰","장진/움비"
"좋아하면 울리는 7","5","웹툰","천계영"
"호러와 로맨스 5","5","로맨스,웹툰","루시드"
"신비 5","5","웹툰","반지"
"오늘도 사랑스럽 개 9","5","웹툰","이혜"
"윈터우즈 7","5","웹툰","COSMOS 외"
"청춘로맨스 6","5","로맨스,웹툰","미울"
"실 10","5","로맨스,웹툰","보리"
"심연의 하늘 10","5","웹툰","윤인완"
"총몽 완전판 (알리타 원작) 6","5","판타지,SF","기시로 유키토"
"26년 3","5","웹툰","강풀"
"계룡 선녀전 5","5","웹툰","돌배"
"머니게임 4","5","탐정,추리,게임","배진수"
"부암동 복수자 소셜클럽 6","5","웹툰","사자토끼"
"스피릿 핑거스 13","5","웹툰","한경찰"
"조명가게 3","5","웹툰","강풀"
"치즈인더트랩 시즌1 6","5","로맨스,웹툰","순끼"
"치즈인더트랩 시즌2 9","5","로맨스,웹툰","순끼"
"치즈인더트랩 시즌3 12","5","로맨스,웹툰","순끼"
