"도서명","보유권수","작가","목표장르","목표구역","기존서가","기존장르"
"26년","1~3권","강풀","웹툰","A","5","웹툰"
"340일간의 유예","1~3권","미치","웹툰","A","5","웹툰"
"3인칭","1~1권","꼬마비","웹툰","A","3","웹툰"
"갓 오브 하이스쿨","1~3권","박용제","웹툰","A","2","웹툰"
"걸어서 30분","1~6권","이온도","웹툰","A","2","웹툰"
"견우와 선녀","1~6권","안수민","웹툰","A","5","웹툰"
"결혼하지 않아도 괜찮을까","1~1권","마스다 미리","웹툰","A","20","웹툰"
"계룡 선녀전","1~5권","돌배","웹툰","A","5","웹툰"
"고래별","1~6권","나윤희","웹툰","A","2","웹툰"
"고양이 엉덩이를 좋아합니다","1~1권","나나옹","웹툰","A","4","웹툰"
"고양이와 할아버지","1~6권","네코마키","웹툰","A","2","웹툰"
"곱게 자란 자식","1~9권","이무기","웹툰","A","3","웹툰"
"귀전구담","1~3권","QTT","웹툰","A","5","웹툰"
"그녀가 공작저로 가야 했던 사정","1~9권","고래/밀차","웹툰","A","5","웹툰"
"그다이","1~5권","최용성","웹툰","A","2","웹툰"
"그대를 사랑합니다","1~3권","강풀","웹툰","A","4","웹툰"
"금요일","1~2권","배진수","웹툰","A","9","웹툰"
"김비서가 왜 그럴까","1~6권","김명미","웹툰","A","4","웹툰"
"나 혼자만 레벨업","1~15권","장성락/추공","웹툰","A","3","웹툰"
"나답게 살고 있습니다","1~1권","마스다 미리","웹툰","A","20","웹툰"
"나빌레라","1~6권","HUN","웹툰","A","2","웹툰"
"나쁜 상사","1~4권","네온비","웹툰","A","9","로맨스,웹툰"
"나의 마녀","1~4권","해윤","웹툰","A","5","웹툰"
"날것","1~6권","로하","웹툰","A","5","웹툰"
"남과 여","1~7권","시니/혀노","웹툰","A","4","웹툰"
"남사친의 법칙","1~3권","이도윤","웹툰","A","2","웹툰"
"남자친구를 조심해","1~3권","이네","웹툰","A","4","웹툰"
"남팬만화","1~7권","장진","웹툰","A","4","웹툰"
"낮에 뜨는 달","1~5권","헤윰","웹툰","A","2","웹툰"
