도서명,보유권수,작가,목표장르,기존서가
드림슈터,1~26권,아오야마 키요시,드라마/스포츠/SF,8
어택,1~11권,오시마 츠카사,드라마/스포츠/SF,8
사무라이 솔저,1~27권,미상,드라마/스포츠/SF,8
총알처럼 고고,1~11권,나카하라 유지,드라마/스포츠/SF,8
아이실드21,1~37권,이나가키 리이치로/무라타 유스케,드라마/스포츠/SF,8
골프천재 탄도 Xi,1~15권,사카타 노부히로/반조우 토시히로,드라마/스포츠/SF,8
이니셜 D,1~48권,미상,드라마/스포츠/SF,8
오버 드라이브,1~17권,미상,드라마/스포츠/SF,8
사상 최강의 제자 켄이치,1~61권,마츠에나 슌,액션/모험,8
홀리랜드,1~18권,미상,로맨스/로판,8
고고한 사람,보유,미상,판타지/무협,8
홍색 히어로,1~20권,타카나시 미츠바,드라마/스포츠/SF,8
노노노노,보유,오카모토 린,드라마/스포츠/SF,8
해피,1~23권,우라사와 나오키,드라마/스포츠/SF,8
슈팅 KOREA,보유,전상영,드라마/스포츠/SF,8
메달리스트,1~13권,츠루마 이카다,드라마/스포츠/SF,8
하늘의 플라타너스,보유,미상,드라마/스포츠/SF,8
터프 외전: 아버지,1~2권,미상,로맨스/로판,9
바키,1~31권,이타가키 케이스케,액션/모험,9
마스라왕,1~7권,모리타 마사노리,드라마/스포츠/SF,9
비바 블루스,1~32권,모리타 마사노리,드라마/스포츠/SF,9
카츠,1~16권,미상,드라마/스포츠/SF,9
터프,1~39권,미상,로맨스/로판,9
리쿠도,1~18권,미상,액션/모험,9
격투맨 바키,1~42권,이타가키 케이스케,액션/모험,9
권법소년,1~21권,마츠다 류지/후지와라 요시히데,액션/모험,9
고교철권전 터프,1~42권,사루와타리 테츠야,액션/모험,9
한마바키,보유,이타가키 케이스케,액션/모험,9
게임X러시,1~2권,쿠사나기 미즈호,스릴러/추리/호러,10
다중인격탐정 사이코,1~19권,오츠카 에이지/타지마 쇼우,스릴러/추리/호러,10
원한해결사무소,1~20권,미상,스릴러/추리/호러,10
명탐정 코난 제로의 일상,1~4권,아라이 타카히로/아오야마 고쇼,스릴러/추리/호러,10
명탐정 코난 제로의 집행인,1~2권,아베 유타카/마루 지로,스릴러/추리/호러,10
소년탐정 김전일 Season2,1~31권,아마기 세이마루/사토 후미야,스릴러/추리/호러,10
소년탐정 김전일,1~26권,아마기 세이마루/사토 후미야,스릴러/추리/호러,10
소년탐정 김전일 단편집,1~4권,아마기 세이마루/사토 후미야,스릴러/추리/호러,10
명탐정 코난,1~108권,아오야마 고쇼,스릴러/추리/호러,10
명탐정 코난 (특별판),1~43권,아오야마 고쇼,스릴러/추리/호러,10
명탐정 코난 범인 한자와 씨,1~5권,칸바 마유코/아오야마 고쇼,일상/개그,10
명탐정 코난 경찰학교 셀렉션,보유,아오야마 고쇼,스릴러/추리/호러,10
명탐정 코난 시크릿 아카이브 괴도 키드,보유,아오야마 고쇼,스릴러/추리/호러,10
명탐정 코난 FBI 셀렉션,보유,아오야마 고쇼,스릴러/추리/호러,10
명탐정 코난 절체절명 셀렉션,보유,아오야마 고쇼,스릴러/추리/호러,10
명탐정 코난 하이바라,보유,아오야마 고쇼,스릴러/추리/호러,10
명탐정 코난 헤이지 & 카즈하 셀렉션,보유,아오야마 고쇼,스릴러/추리/호러,10
명탐정코난 vs 검은조직의 남자들,보유,아오야마 고쇼,스릴러/추리/호러,10
명탐정코난 탐정연구소 입문백과 + 괴도키드 세트,보유,아오야마 고쇼,스릴러/추리/호러,10
