도서명,보유권수,작가,목표장르,기존서가
그녀도 여친,1~16권,히로유키,일상/개그,1
마토메 그로기 헤븐,1~6권,미타 타카오,일상/개그,1
이리 와.,1~7권,쿠메타 코지,일상/개그,1
앗군과 그녀,1~4권,카키츠바타 와카,로맨스/로판,1
크라운,1~6권,와다 신지,액션/모험,1
월화국 기의전,1~7권,마츠모토 테마리,판타지/무협,1
고래의 아이들은 모래 위에서 노래한다,1~15권,우메다 아비,판타지/무협,1
하나마루 유치원,1~11권,유토,일상/개그,1
부엉이와 밤의 왕,1~4권,코교쿠 이즈키,판타지/무협,1
텐초 안돼,1~3권,이치카와 킨,일상/개그,1
불가사의한 소년,1~8권,야마시타 토모코,드라마/스포츠/SF,1
모노크로 소년 소녀,1~12권,후쿠야마 료코,로맨스/로판,1
복면 노이즈,1~18권,후쿠야마 료코,로맨스/로판,1
텐도가 이야기,1~13권,사이토 치호,로맨스/로판,1
댄싱 폴리스맨,보유,후지사와 토오루,일상/개그,1
오늘부터 마가붙는 자유업!,1~20권,타카바야시 토모,판타지/무협,1
괴력란신 쿠완,1~7권,타카하시 츠토무,액션/모험,1
가부쿠몬,1~8권,타카하시 츠토무,액션/모험,1
큐피,1~8권,타카하시 히로시,액션/모험,1
추남 진성 파이터,1~6권,하야시자키 후미히로,액션/모험,2
해피엔드,1~5권,아리마 타카시,스릴러/추리/호러,2
고성소의 슈베스터,1~6권,야하라 히로시,스릴러/추리/호러,2
레드 가든,1~4권,곤조,스릴러/추리/호러,2
DOGS,1~9권,미와 시로,액션/모험,2
베르세르크,1~42권,미우라 켄타로,판타지/무협,2
종말의 세라프,1~31권,카가미 타카야,판타지/무협,2
약사의 혼잣말 (소설),1~14권,휴우가 나츠,일반도서/소설,2
카미츄!,1~2권,베사메무초,일상/개그,2
천재 유교수의 생활,1~17권,야마시타 카즈미,드라마/스포츠/SF,2
뼈 드래곤의 귀한 딸,1~4권,유키지,판타지/무협,2
간츠,1~37권,오쿠 히로야,드라마/스포츠/SF,3
바키,1~31권,이타가키 케이스케,액션/모험,3
야왕,1~29권,쿠라시나 료/이노우에 노리요시,드라마/스포츠/SF,3
강호패도기,1~37권,오치아이 유스케,판타지/무협,3
창천의 권,1~22권,하라 테츠오/부론손,액션/모험,3
마법총술사 쿠로히메,1~18권,카타쿠라 마사노리,판타지/무협,3
격투미신 무룡,1~18권,모리타 마사노리,액션/모험,3
거기서 일하는 무스부 씨,1~5권,모리 타이시,로맨스/로판,4
굿바이 미니스커트,1~2권,마키노 아오이,드라마/스포츠/SF,4
몽몽 모노노케,1~4권,쿠로다 에이지,판타지/무협,4
"와, 같은",1~5권,미상,로맨스/로판,4
우루시하 사라라는 사랑따위 하지 않아,1~3권,Piroshiki,로맨스/로판,4
층계참에 스커트가 울린다,1~4권,아마노 슌타,로맨스/로판,4
성혈의 해수,1~3권,미상,로맨스/로판,4
천호 봉인시,1~3권,미상,로맨스/로판,4
운명의 사람을 만나는 이야기,1~5권,아나시로,로맨스/로판,4
마법소년 나츠키 러빗,1~4권,미상,로맨스/로판,4
늑대인간은 빨간 망토에 길들여지지 않아,1~2권,미상,로맨스/로판,4
1년에 1만엔으로 수명을 팔았다,1~3권,미아키 스가루,드라마/스포츠/SF,4
집으로 돌아가자,1~4권,미상,로맨스/로판,4
언제가의 이츠카,1~4권,미상,로맨스/로판,4
아저씨는 귀여운 것을 좋아해,1~7권,츠토무,일상/개그,4
마왕성은 사이코로트닉스,1~2권,미상,로맨스/로판,4
뉴 노멀,1~4권,아이하라 아카네,드라마/스포츠/SF,4
마왕님과 슈운,1~4권,미상,로맨스/로판,4
할배는 죽지 않는다,1~2권,미상,로맨스/로판,4
우주 끝의 한가운데,1~2권,미상,로맨스/로판,4
뽀로와 유학일기,1~2권,미상,로맨스/로판,4
네가 죽을 때까지 사랑하고 싶어,1~7권,아오노 나치,BL/GL,4
에비가와초 요괴카페,1~4권,스즈키 아리코,판타지/무협,4
오늘부터 시작하는 소꿉친구,1~2권,오비야 켄,로맨스/로판,4
이건 사랑이지 연애가 아냐,1~5권,미상,로맨스/로판,4
씹으면 씹을수록 달콤해져,1~6권,미상,로맨스/로판,4
오버로드 공식 코믹 아라카르트,1~3권,엔터브레인,판타지/무협,4
악역 왕자는 사랑을 할 수 없다,1~2권,미상,로맨스/로판,4
"내 전속, 마법사님",1~2권,미상,로맨스/로판,4
만천의 별과 푸른 하늘,1~3권,미상,로맨스/로판,4
업로드 용사,1~2권,미상,로맨스/로판,4
메시아의 철퇴,1~3권,미상,로맨스/로판,4
연하의 그 아이,1~3권,미상,로맨스/로판,4
매리지 그레이,1~4권,와다 토모히로,로맨스/로판,4
고고고고 고스트,1~2권,미상,로맨스/로판,4
늑대인간 집사의 불온한 일과,1~2권,미상,로맨스/로판,4
칸무리 씨의 시계공방,1~4권,미상,로맨스/로판,4
뿔 학원,1~2권,미상,로맨스/로판,4
"오늘 밤, 괴인과 티타임을",1~2권,미상,로맨스/로판,4
머메이드 보이즈,1~3권,미상,로맨스/로판,4
콜드 게임,1~5권,미상,로맨스/로판,4
몽황의 그림자 공주,1~2권,미상,로맨스/로판,4
쌍둥이 남매의 속사정,1~2권,미상,로맨스/로판,4
샹피뇽의 마녀,1~5권,미상,로맨스/로판,4
죽을 때는 눈부시게,1~5권,미상,로맨스/로판,4
데비 더 코르시파는 지기 싫어해,1~3권,미상,로맨스/로판,4
밤의 이름을 불러줘,1~4권,미상,로맨스/로판,4
그럼에도 불구하고,1~3권,미상,로맨스/로판,4
가라오케 가자!,보유,와야마 야마,일상/개그,5
"패밀리 레스토랑 가자 상,하",보유,와야마 야마,일상/개그,5
먼작귀,1~5권,나가노,일상/개그,5
여학교의 별,1~4권,아야마 야마,일상/개그,5
키리오 팬클럽,1~6권,치카,일상/개그,5
키리오 팬클럽 FC,보유,치카,일상/개그,5
보이는 여고생,1~11권,이즈미 토모키,스릴러/추리/호러,5
괴이 소녀와 행방불명,1~4권,누지마,스릴러/추리/호러,5
히카루가 죽은 여름,1~8권,모쿠모쿠 렌,스릴러/추리/호러,5
마슐,1~18권,코모토 하지메,판타지/무협,5
약사의 혼잣말 (만화),1~18권,네코쿠라게/휴우가 나츠,드라마/스포츠/SF,5
보석의 나라,1~13권,이치카와 하루코,판타지/무협,6
위치 워치,1~21권,시노하라 켄타,판타지/무협,6
푸른 상자,1~24권,코우지 미우라,로맨스/로판,9
타몬 군 지금 어느 쪽 ?!,1~13권,시와즈 유키,로맨스/로판,9
그 비스크 돌은 사랑을 한다,1~15권,후쿠다 신이치,로맨스/로판,9
사쿠라 사쿠,1~9권,사키사카 이오,로맨스/로판,9
봄의 폭풍과 몬스터,1~9권,미츠바치 미유키,로맨스/로판,9
반딧불이의 혼례,1~11권,오레코 타치바나,로맨스/로판,9
스킵과 로퍼,1~10권,타카마츠 미사키,로맨스/로판,9
쓰레기 기둥서방 하나 군은 죽고 싶어해,1~3권,미상,로맨스/로판,9
사이키 쿠스오의 재난,1~26권,아소 슈이치,판타지/무협,5
사카모토입니다만?,1~4권,사노 나미,코믹스/그래픽노블,5
문호 스트레이 독스,1~27권,하루카와 산고,판타지/무협,6
문호 스트레이 독스 공식 앤솔로지,1~4권,아사기리 카프카/하루카와 35,액션/모험,6
문호 스트레이 독스 비스트,1~2권,아사기리 카프카/하루카와 35,액션/모험,6
문호 스트레이 독스 멍!,1~6권,아사기리 카프카/하루카와 35,액션/모험,6
나의 히어로 아카데미아,1~42권,호리코시 코헤이,액션/모험,6
나의 히어로 아카데미아 스매시!!,1~5권,호리코시 코헤이,액션/모험,6
나의 히어로 아카데미아 팀업미션,1~6권,호리코시 코헤이,액션/모험,6
비질랜티,1~15권,후루하시 히데유키/벳텐 코트,액션/모험,6
가치아쿠타,1~14권,우라나 케이,액션/모험,6
파이어 펀치,1~8권,후지모토 타츠키,액션/모험,6
황천의 츠가이,1~11권,아라카와 히로무,판타지/무협,6
강철의 연금술사,1~27권,아라카와 히로무,판타지/무협,6
사이코메트리,1~15권,안도 유지,스릴러/추리/호러,6
블루 록,1~36권,카네시로 무네유키,드라마/스포츠/SF,6
블루록 에피소드 나기,1~1권,카네시로 무네유키,드라마/스포츠/SF,6
도쿄 에일리언즈,1~10권,NAOE,액션/모험,7
극락가,1~5권,사노 유토,판타지/무협,7
팬텀 버스터즈,1~7권,네오 쇼코,액션/모험,7
카구라바치,1~10권,타케루 호카조노,판타지/무협,7
약속의 네버랜드,1~20권,카이우 시라이 / 포스카 데미스,판타지/무협,7
스파이 패밀리,1~17권,타츠야 엔도,일상/개그,7
디그 잇,1~3권,무츠미 쇼타로,드라마/스포츠/SF,7
헌터 X 헌터,1~38권,요시히로 토가시,액션/모험,7
도쿄 리벤저스,1~31권,켄 와쿠이,액션/모험,7
도쿄 리벤저스 - 바지 케이스케로부터의 편지-,1~4권,와쿠이 켄,액션/모험,7
도쿄대 리벤저스,1~6권,켄 와쿠이,판타지/무협,7
도쿄 구울,1~14권,스이 이시다,스릴러/추리/호러,7
도쿄 구울 re,1~16권,스이 이시다,스릴러/추리/호러,7
지옥락,1~13권,카쿠 유지,액션/모험,7
아인,1~17권,"사쿠라이 가몬, 미우라 츠이나",스릴러/추리/호러,8
주술회전,1~30권,아쿠타미 게게,액션/모험,8
진격의 거인,1~34권,이사야마 하지메,액션/모험,8
진격의 거인 Before the fall,1~17권,이사야마 하지메,액션/모험,8
진격의 거인 Lost girls,1~2권,이사야마 하지메,액션/모험,8
진격의 거인 후회없는 선택,1~2권,이사야마 하지메,액션/모험,8
괴물사변,1~23권,쇼 아이모토,판타지/무협,8
최애의 아이,1~16권,아카 아카사카/멘고 요코야리,로맨스/로판,8
괴수 8호,1~16권,나오야 마츠모토,판타지/무협,8
귀멸의 칼날,1~23권,고토게 코요하루,액션/모험,8
귀멸학원,1~6권,고토게 코요하루,액션/모험,8
지박소년 하나코 군,1~25권,아이다이로,판타지/무협,8
사카모토데이즈,1~27권,유토 스즈키,일상/개그,8
체인소맨,1~23권,타츠키 후지모토,액션/모험,8
막내 황녀님,1~3권,미상,액션/모험,8
막내 황녀님 외전,보유,미상,액션/모험,8
과거의 남자,1~2권,미상,액션/모험,8
서주,보유,미상,액션/모험,8
장송의 프리렌,1~15권,야마다 카네히토,판타지/무협,8
버진 호텔,1~7권,미상,로맨스/로판,9
그림자 공주의 혼례,1~3권,미상,로맨스/로판,9
혈해의 노아,1~5권,미상,로맨스/로판,9
호리미야,1~17권,"히로, 하기와라 다이스케",로맨스/로판,9
야마다 군과 Lv999의 사랑을 하다,1~8권,미상,로맨스/로판,9
5등분의 신부,1~14권,하루바 네기,로맨스/로판,9
손끝과 연연,1~13권,수 모리시타,로맨스/로판,9
요시오의 하늘,1~6권,미상,로맨스/로판,9
"언니같은 남자, 시작합니다",1~1권,미상,로맨스/로판,9
"맑게, 불안하게, 애틋하게.",1~6권,미상,로맨스/로판,9
비오는 밤의 달,1~5권,미상,로맨스/로판,9
신이 축복한 남자,1~11권,미상,로맨스/로판,9
이상한 과자 가게 전천당,1~12권,미상,로맨스/로판,9
통제불능,1~2권,미상,로맨스/로판,9
달빛연인,보유,미상,로맨스/로판,9
만렙 닥터 리턴즈,1~17권,미상,로맨스/로판,9
달을 사랑한 괴물,1~4권,미상,로맨스/로판,9
암살자,1~3권,미상,로맨스/로판,9
폐하의 소꿉친구,1~3권,미상,로맨스/로판,9
지금 사랑을 하고 있어요,1~9권,미상,로맨스/로판,9
바운더 최강 소년 항우,1~2권,미상,로맨스/로판,9
연애가 필요해,1~2권,미상,로맨스/로판,9
범하지 말지어다,1~2권,미상,로맨스/로판,9
감방에서 남자주인공을 만났습니다,1~4권,미상,로맨스/로판,9
이불 밖은 위험해,1~2권,미상,로맨스/로판,9
결혼합의,1~2권,미상,로맨스/로판,9
고영이 키스,보유,미상,로맨스/로판,9
청연,보유,미상,로맨스/로판,9
마녀의 장례식,1~2권,미상,로맨스/로판,9
귀환전생,1~10권,미상,로맨스/로판,10
핑크와 하바네로,1~13권,미상,로맨스/로판,10
얼굴만으론 좋아할 수 없어요,1~15권,미상,로맨스/로판,10
아름다운 초저녁 달,1~10권,미카 야마모리,로맨스/로판,10
올 스탯 9999,1~7권,웹툰 작가,웹툰,22
철종,1~2권,웹툰 작가,웹툰,22
타마의 포상,1~7권,미상,로맨스/로판,10
귀엽다는 말 들은 적 없어!!,1~10권,미상,로맨스/로판,10
향기로운 꽃은 늠름하게 핀다,1~21권,미상,로맨스/로판,10
불가항력의 I LOVE YOU,1~3권,미상,로맨스/로판,10
파이팅 모나코와 소라,1~22권,미상,로맨스/로판,13
아혈의 음양사,1~4권,미상,로맨스/로판,13
지니,1~9권,미상,로맨스/로판,13
식령,1~12권,미상,로맨스/로판,13
청의 엑소시스트,1~29권,미상,로맨스/로판,13
양극의 소년,1~1권,미상,로맨스/로판,13
샤먼킹,1~32권,미상,액션/모험,14
시티 헌터 완전판,1~27권,미상,액션/모험,14
격기 3반,1~10권,미상,액션/모험,14
대사각하의 요리사,1~25권,미상,액션/모험,14
페어리테일,1~63권,히로 마시마,액션/모험,14
페어리 테일 S,1~2권,마시마 히로,판타지/무협,14
결혼해도 똑같네,1~2권,미상,액션/모험,14
결혼해도 똑같네 PLUS,보유,미상,액션/모험,14
괴발개발,보유,미상,액션/모험,14
기타 등등의 연애,보유,미상,액션/모험,14
연금 무뢰한,1~5권,미상,액션/모험,14
타임 슬립 덕후걸,1~4권,미상,액션/모험,14
마나,1~4권,미상,액션/모험,14
SANDA (산다),1~14권,미상,액션/모험,14
록은 숙녀의 소양이기에,1~6권,미상,액션/모험,14
고래별 경성의 인어공주,1~6권,웹툰 작가,웹툰,18
그들에게 사면초가,1~2권,웹툰 작가,웹툰,18
궁에는 개꽃이 산다,1~8권,웹툰 작가,웹툰,18
기춘씨에게도 봄은 오는가,보유,웹툰 작가,웹툰,18
그녀의 심청,1~7권,웹툰 작가,웹툰,18
그녀의 심청 외전,보유,웹툰 작가,웹툰,18
그다이,1~4권,최용성,웹툰,18
그다이 특별편,보유,웹툰 작가,웹툰,18
검은머리 황녀님,1~5권,웹툰 작가,웹툰,18
걸어서 30분,1~4권,이온도,웹툰,18
고독한 미식가,1~2권,웹툰 작가,웹툰,18
"감자도리의 쫄지마, 직딩",보유,웹툰 작가,웹툰,18
"고객님, 이 제품을 사주시겠습니까?",1~2권,웹툰 작가,웹툰,18
계룡 선녀전,1~5권,돌배,웹툰,18
갓 오브 하이스쿨,1~4권,박용제,웹툰,18
고양이 여덟마리와 살았다,보유,웹툰 작가,웹툰,18
고양이 낸시,보유,웹툰 작가,웹툰,18
개의 마음,보유,웹툰 작가,웹툰,18
강풀 영화야 놀자,보유,웹툰 작가,웹툰,18
길 위의 노래 가담항설,1~12권,웹툰 작가,웹툰,18
그녀가 공작저로 가야 했던 사정,1~9권,고래/밀차,웹툰,18
굿 바이 사돈,1~8권,웹툰 작가,웹툰,18
각자의 디데이,1~4권,웹툰 작가,웹툰,18
극한견주,1~4권,웹툰 작가,웹툰,18
금요일,1~2권,배진수,웹툰,18
기기괴괴 - 아프리카에서 생긴 일,보유,웹툰 작가,웹툰,18
기기괴괴 - 저주받은 갤러리,보유,웹툰 작가,웹툰,18
기기괴괴 - 아내의 기억,보유,웹툰 작가,웹툰,18
그 해 여름,1~3권,웹툰 작가,웹툰,18
개를 낳았다,1~7권,웹툰 작가,웹툰,18
고수,1~16권,문정후/류기운,웹툰,18
기기괴괴 - 키베이루의 서재,보유,웹툰 작가,웹툰,18
기기괴괴 - 성형수,보유,웹툰 작가,웹툰,18
극락왕생,1~9권,웹툰 작가,웹툰,18
각시탈,보유,웹툰 작가,웹툰,18
곱게 자란 자식,1~9권,이무기,웹툰,18
그대를 사랑합니다,1~3권,강풀,웹툰,18
계약우정,1~3권,웹툰 작가,웹툰,18
과격자매단,1~2권,웹툰 작가,웹툰,18
교류자,보유,웹툰 작가,웹툰,18
껍데기,1~3권,웹툰 작가,웹툰,18
내 어머니 이야기,1~4권,웹툰 작가,웹툰,18
노곤하개,1~11권,홍끼,웹툰,18
네크로맨서,1~2권,웹툰 작가,웹툰,18
내 ID는 강남미인,1~5권,기맹기,웹툰,18
나의 빛나는 세계,1~3권,웹툰 작가,웹툰,18
남과 여,1~7권,시니/혀노,웹툰,18
낮에 뜨는 달,1~5권,헤윰,웹툰,18
냄새를 보는 소녀,1~2권,웹툰 작가,웹툰,18
나의 마녀,1~4권,해윤,웹툰,18
내일은 결혼,보유,웹툰 작가,웹툰,18
내 남자친구에게,1~2권,웹툰 작가,웹툰,18
나빌레라,1~5권,HUN,웹툰,18
노크 필수,1~2권,웹툰 작가,웹툰,18
나쁜 상사,1~4권,네온비,웹툰,18
남자친구를 조심해,1~3권,이네,웹툰,18
내 남편과 결혼해줘,1~7권,LICO/성소작,웹툰,18
